label group Pseudotime
RamDA_24h_H10 24h 0.844912621297217
RamDA_24h_D10 24h 0.845770580149342
RamDA_24h_C02 24h 0.850945886882133
RamDA_24h_E10 24h 0.856216481062965
RamDA_24h_C11 24h 0.856925786909973
RamDA_24h_A04 24h 0.857319203384333
RamDA_24h_G06 24h 0.858317137495648
RamDA_24h_H05 24h 0.859925128278606
RamDA_24h_E11 24h 0.860037669982798
RamDA_24h_E02 24h 0.862411978329155
RamDA_24h_C12 24h 0.864761574338407
RamDA_24h_F01 24h 0.865200788303162
RamDA_24h_C07 24h 0.867422319566163
RamDA_24h_E05 24h 0.871250083435439
RamDA_24h_G04 24h 0.874563235765924
RamDA_24h_A08 24h 0.87708168573878
RamDA_48h_E02 48h 0.882818030328833
RamDA_24h_B01 24h 0.883618041499316
RamDA_24h_G12 24h 0.885491068239221
RamDA_24h_G09 24h 0.885563343197655
RamDA_24h_C04 24h 0.885930330463858
RamDA_24h_E06 24h 0.90556673298049
RamDA_24h_B06 24h 0.912693917957422
RamDA_24h_F12 24h 0.923174696652195
RamDA_24h_G02 24h 0.930154352106414
RamDA_24h_A12 24h 0.935683793388954
RamDA_24h_F03 24h 0.955219708408571
RamDA_24h_D08 24h 0.97575007368954
RamDA_24h_C01 24h 0.993425290831963
RamDA_24h_E03 24h 1.01307289125429
RamDA_24h_G11 24h 1.02432493214839
RamDA_24h_C03 24h 1.03802297138263
RamDA_24h_B07 24h 1.0399847615915
RamDA_48h_D12 48h 1.08457267918392
RamDA_24h_D04 24h 1.09709807657902
RamDA_48h_C07 48h 1.1268706217484
RamDA_48h_F02 48h 1.14790269181661
RamDA_48h_F09 48h 1.16069364044445
RamDA_48h_B08 48h 1.17894819331523
RamDA_72h_E08 72h 1.19606452503763
RamDA_48h_G03 48h 1.22062938879563
RamDA_48h_G06 48h 1.23603669096705
RamDA_48h_H10 48h 1.23745951038007
RamDA_48h_H02 48h 1.25997440425318
RamDA_48h_C12 48h 1.26147455439497
RamDA_48h_H12 48h 1.28281886884289
RamDA_48h_B03 48h 1.2897533820248
RamDA_48h_D11 48h 1.29132915078222
RamDA_48h_H07 48h 1.29348984428018
RamDA_48h_B05 48h 1.29473027524965
