transcript_id	cluster
ENSMUST00000020637.8	4
ENSMUST00000020640.7	6
ENSMUST00000020653.5	4
ENSMUST00000020657.12	4
ENSMUST00000020665.12	6
ENSMUST00000020673.2	5
ENSMUST00000020692.6	1
ENSMUST00000020695.12	5
ENSMUST00000020710.10	4
ENSMUST00000020717.11	4
ENSMUST00000020719.6	4
ENSMUST00000020741.11	7
ENSMUST00000020756.8	6
ENSMUST00000020770.10	1
ENSMUST00000020822.11	3
ENSMUST00000020831.12	4
ENSMUST00000020835.15	1
ENSMUST00000020877.7	6
ENSMUST00000020885.12	4
ENSMUST00000020886.7	2
ENSMUST00000020896.14	6
ENSMUST00000020904.6	4
ENSMUST00000020909.3	4
ENSMUST00000020930.13	4
ENSMUST00000020931.5	7
ENSMUST00000020974.6	1
ENSMUST00000020980.11	2
ENSMUST00000021001.8	4
ENSMUST00000021046.5	7
ENSMUST00000021048.6	6
ENSMUST00000021049.8	6
ENSMUST00000021062.11	6
ENSMUST00000021063.12	5
ENSMUST00000021077.3	6
ENSMUST00000021082.6	1
ENSMUST00000021083.6	7
ENSMUST00000021114.4	4
ENSMUST00000021133.15	4
ENSMUST00000021158.3	4
ENSMUST00000021197.9	7
ENSMUST00000021201.5	4
ENSMUST00000021217.10	6
ENSMUST00000021239.6	4
ENSMUST00000021282.11	5
ENSMUST00000021297.5	7
ENSMUST00000021311.9	7
ENSMUST00000021313.8	6
ENSMUST00000021329.13	4
ENSMUST00000021332.8	6
ENSMUST00000021335.5	4
ENSMUST00000021345.12	6
ENSMUST00000021375.11	4
ENSMUST00000021379.7	6
ENSMUST00000021380.8	4
ENSMUST00000021381.4	7
ENSMUST00000021405.7	6
ENSMUST00000021412.8	6
ENSMUST00000021425.6	6
ENSMUST00000021428.7	7
ENSMUST00000021443.5	5
ENSMUST00000021467.7	1
ENSMUST00000021471.12	4
ENSMUST00000021514.8	5
ENSMUST00000021522.3	4
ENSMUST00000021552.1	6
ENSMUST00000021554.14	4
ENSMUST00000021559.13	6
ENSMUST00000021574.6	6
ENSMUST00000021595.8	7
ENSMUST00000021614.13	2
ENSMUST00000021645.7	2
ENSMUST00000021668.8	4
ENSMUST00000021669.14	2
