label	variable	group	Pseudotime	value	sd
RamDA_00h_B07	cluster_3	00h	0.062845744434167	0.157326592978335	0.991524223728683
RamDA_00h_B07	cluster_4	00h	0.062845744434167	-1.55301246151527	0.345890069306751
RamDA_00h_B07	cluster_5	00h	0.062845744434167	1.03096496576064	0.355685447301844
RamDA_00h_B07	cluster_6	00h	0.062845744434167	0.254825522410297	0.462840334204175
RamDA_00h_B07	cluster_7	00h	0.062845744434167	-1.02057688615475	0.488466387726684
RamDA_00h_B08	cluster_1	00h	0.13547249762394	-0.828963545080815	0.52465580255015
RamDA_00h_B08	cluster_2	00h	0.13547249762394	1.38878341150507	0.135708219182726
RamDA_00h_B08	cluster_3	00h	0.13547249762394	-0.209980561359952	0.745761276370388
RamDA_00h_B08	cluster_4	00h	0.13547249762394	-1.35974948501258	0.188185384614994
RamDA_00h_B08	cluster_5	00h	0.13547249762394	0.999045782779437	0.236673249776039
RamDA_00h_B08	cluster_6	00h	0.13547249762394	0.368199374089708	0.358180525166521
RamDA_00h_B08	cluster_7	00h	0.13547249762394	-0.614631052812057	0.41828409712123
RamDA_00h_B09	cluster_1	00h	0.10826005131685	-0.833634237345004	0.571015538356915
RamDA_00h_B09	cluster_2	00h	0.10826005131685	1.5073914727296	0.14571651338501
RamDA_00h_B09	cluster_3	00h	0.10826005131685	-0.0715045296930252	0.830338632560647
RamDA_00h_B09	cluster_4	00h	0.10826005131685	-1.43581138365284	0.233089278448562
RamDA_00h_B09	cluster_5	00h	0.10826005131685	1.00877621258801	0.27748399066021
RamDA_00h_B09	cluster_6	00h	0.10826005131685	0.322274807511186	0.384358234495489
RamDA_00h_B09	cluster_7	00h	0.10826005131685	-0.775157210641658	0.421449385685784
RamDA_00h_B10	cluster_1	00h	0.0536239825012991	-0.841588605083358	0.678782443422221
RamDA_00h_B10	cluster_2	00h	0.0536239825012991	1.74232107916628	0.247525756204795
RamDA_00h_B10	cluster_3	00h	0.0536239825012991	0.203458802396812	1.02740495177082
RamDA_00h_B10	cluster_4	00h	0.0536239825012991	-1.57587293689249	0.3726196228382
RamDA_00h_B10	cluster_5	00h	0.0536239825012991	1.0360524327976	0.373185826568198
RamDA_00h_B10	cluster_6	00h	0.0536239825012991	0.242035083726834	0.483409716300897
RamDA_00h_B10	cluster_7	00h	0.0536239825012991	-1.06816996494329	0.511481965840713
RamDA_00h_B11	cluster_1	00h	0.18879422718404	-0.818136829212155	0.448788493078026
RamDA_00h_B11	cluster_2	00h	0.18879422718404	1.15332387847642	0.198749324261875
RamDA_00h_B11	cluster_3	00h	0.18879422718404	-0.479250766685527	0.604440614803408
RamDA_00h_B11	cluster_4	00h	0.18879422718404	-1.19512307306563	0.181214300583572
RamDA_00h_B11	cluster_5	00h	0.18879422718404	0.989039371889434	0.174335649880189
RamDA_00h_B11	cluster_6	00h	0.18879422718404	0.47197926205355	0.351539139434204
RamDA_00h_B11	cluster_7	00h	0.18879422718404	-0.267706771973642	0.463679584486761
RamDA_00h_B12	cluster_1	00h	0.033282148013259	-0.844297993371564	0.723956800096449
RamDA_00h_B12	cluster_2	00h	0.033282148013259	1.82919152226221	0.298549311596361
RamDA_00h_B12	cluster_3	00h	0.033282148013259	0.305012835251857	1.1100168240611
RamDA_00h_B12	cluster_4	00h	0.033282148013259	-1.62582127775814	0.434570086563963
RamDA_00h_B12	cluster_5	00h	0.033282148013259	1.04757393608807	0.413626006234331
RamDA_00h_B12	cluster_6	00h	0.033282148013259	0.214290329862025	0.533093434507901
RamDA_00h_B12	cluster_7	00h	0.033282148013259	-1.17198496950277	0.571098801597178
RamDA_00h_C01	cluster_1	00h	0.09077027616897	-0.836349140751864	0.603334917100753
RamDA_00h_C01	cluster_2	00h	0.09077027616897	1.5829889788955	0.169610513388485
RamDA_00h_C01	cluster_3	00h	0.09077027616897	0.0169997053285623	0.889341909493984
RamDA_00h_C01	cluster_4	00h	0.09077027616897	-1.48212727438351	0.272091630422143
RamDA_00h_C01	cluster_5	00h	0.09077027616897	1.01659274469627	0.306053635515004
RamDA_00h_C01	cluster_6	00h	0.09077027616897	0.295167677298806	0.409684403921294
RamDA_00h_C01	cluster_7	00h	0.09077027616897	-0.872462837116468	0.437634803849848
RamDA_00h_C02	cluster_1	00h	0.100315719584164	-0.83489258254899	0.585446967559828
RamDA_00h_C02	cluster_2	00h	0.100315719584164	1.54178738534802	0.155148259139592
RamDA_00h_C02	cluster_3	00h	0.100315719584164	-0.031242937442944	0.856671648604899
RamDA_00h_C02	cluster_4	00h	0.100315719584164	-1.45707211795581	0.249984029127896
RamDA_00h_C02	cluster_5	00h	0.100315719584164	1.01218988075647	0.290229963295481
RamDA_00h_C02	cluster_6	00h	0.100315719584164	0.30975025238316	0.39505395124594
RamDA_00h_C02	cluster_7	00h	0.100315719584164	-0.819875939030978	0.427309904458441
RamDA_00h_C03	cluster_1	00h	0.179907582529355	-0.82008172515608	0.459821915360983
RamDA_00h_C03	cluster_2	00h	0.179907582529355	1.19275005433137	0.184021384641998
RamDA_00h_C03	cluster_3	00h	0.179907582529355	-0.435057548973439	0.625585118920262
RamDA_00h_C03	cluster_4	00h	0.179907582529355	-1.22391756644073	0.174319084001959
RamDA_00h_C03	cluster_5	00h	0.179907582529355	0.989961081103257	0.18224066513571
RamDA_00h_C03	cluster_6	00h	0.179907582529355	0.453562066121827	0.348929519872849
RamDA_00h_C03	cluster_7	00h	0.179907582529355	-0.328032566256062	0.453015189894619
RamDA_00h_C04	cluster_1	00h	0.141459712605799	-0.827856344444481	0.515095215973807
RamDA_00h_C04	cluster_2	00h	0.141459712605799	1.36252277442856	0.138335035057531
RamDA_00h_C04	cluster_3	00h	0.141459712605799	-0.240495345353945	0.728270237098803
RamDA_00h_C04	cluster_4	00h	0.141459712605799	-1.34228975899153	0.181579118327801
RamDA_00h_C04	cluster_5	00h	0.141459712605799	0.997338331030805	0.228312567066016
RamDA_00h_C04	cluster_6	00h	0.141459712605799	0.378967949803134	0.354586085196006
RamDA_00h_C04	cluster_7	00h	0.141459712605799	-0.577716825719456	0.420582829642907
RamDA_00h_C05	cluster_1	00h	0.140543993625263	-0.828027573812554	0.516542187190352
RamDA_00h_C05	cluster_2	00h	0.140543993625263	1.36654290936122	0.137829367175844
RamDA_00h_C05	cluster_3	00h	0.140543993625263	-0.235828892787298	0.730919922573903
RamDA_00h_C05	cluster_4	00h	0.140543993625263	-1.34497756650892	0.182501903737787
RamDA_00h_C05	cluster_5	00h	0.140543993625263	0.99758920950809	0.229575424570049
RamDA_00h_C05	cluster_6	00h	0.140543993625263	0.377305266201775	0.35508614447941
RamDA_00h_C05	cluster_7	00h	0.140543993625263	-0.583399909867503	0.420171739301316
RamDA_00h_C06	cluster_1	00h	0.055666326880365	-0.841312852182017	0.674393117214132
RamDA_00h_C06	cluster_2	00h	0.055666326880365	1.7335901548463	0.242634836674162
RamDA_00h_C06	cluster_3	00h	0.055666326880365	0.193248510239764	1.0193702196423
RamDA_00h_C06	cluster_4	00h	0.055666326880365	-1.57082587756671	0.366616935930251
RamDA_00h_C06	cluster_5	00h	0.055666326880365	1.03491581130259	0.369263411806795
RamDA_00h_C06	cluster_6	00h	0.055666326880365	0.244852294666827	0.478739335656048
RamDA_00h_C06	cluster_7	00h	0.055666326880365	-1.05766805676398	0.506146289915105
RamDA_00h_C07	cluster_1	00h	0.128117483365588	-0.830283819254356	0.536719162268011
RamDA_00h_C07	cluster_2	00h	0.128117483365588	1.42096350302646	0.134799783318884
RamDA_00h_C07	cluster_3	00h	0.128117483365588	-0.172496951101196	0.767790220402987
RamDA_00h_C07	cluster_4	00h	0.128117483365588	-1.38083202676578	0.198062505748582
RamDA_00h_C07	cluster_5	00h	0.128117483365588	1.00136037537157	0.247263392166871
RamDA_00h_C07	cluster_6	00h	0.128117483365588	0.35530260368953	0.363656234131722
RamDA_00h_C07	cluster_7	00h	0.128117483365588	-0.659186558823061	0.416803994845721
RamDA_00h_C08	cluster_1	00h	0.033936874500753	-0.844211479868471	0.722463042259453
RamDA_00h_C08	cluster_2	00h	0.033936874500753	1.82639717768365	0.296852744037555
RamDA_00h_C08	cluster_3	00h	0.033936874500753	0.301746928531256	1.10728840385964
RamDA_00h_C08	cluster_4	00h	0.033936874500753	-1.62421958755896	0.432522760086762
RamDA_00h_C08	cluster_5	00h	0.033936874500753	1.04719936480869	0.412287508153898
RamDA_00h_C08	cluster_6	00h	0.033936874500753	0.215177452241653	0.531412925326444
RamDA_00h_C08	cluster_7	00h	0.033936874500753	-1.168658219158	0.569016358489379
RamDA_00h_C09	cluster_1	00h	0.034833657181635	-0.844092936383997	0.720421169962361
RamDA_00h_C09	cluster_2	00h	0.034833657181635	1.8225696358924	0.294533910595869
RamDA_00h_C09	cluster_3	00h	0.034833657181635	0.297273407363596	1.10355839036423
RamDA_00h_C09	cluster_4	00h	0.034833657181635	-1.62202535291138	0.429723599553968
RamDA_00h_C09	cluster_5	00h	0.034833657181635	1.04668655795832	0.410457930367729
RamDA_00h_C09	cluster_6	00h	0.034833657181635	0.216392936386163	0.529119153031678
RamDA_00h_C09	cluster_7	00h	0.034833657181635	-1.16410058152069	0.566179882862311
RamDA_00h_C10	cluster_1	00h	0.108094264826714	-0.833660952701133	0.571312515869672
RamDA_00h_C10	cluster_2	00h	0.108094264826714	1.50811029181752	0.145886308689374
RamDA_00h_C10	cluster_3	00h	0.108094264826714	-0.070663355096568	0.830880343363525
RamDA_00h_C10	cluster_4	00h	0.108094264826714	-1.43625911622915	0.23342666112641
RamDA_00h_C10	cluster_5	00h	0.108094264826714	1.00884497188074	0.277746123318326
RamDA_00h_C10	cluster_6	00h	0.108094264826714	0.32200960823071	0.384567467489911
RamDA_00h_C10	cluster_7	00h	0.108094264826714	-0.776099797938072	0.421547012822218
RamDA_00h_C11	cluster_1	00h	0.101694737187717	-0.834677286290917	0.582912393522675
RamDA_00h_C11	cluster_2	00h	0.101694737187717	1.53582387212485	0.153328535078735
RamDA_00h_C11	cluster_3	00h	0.101694737187717	-0.038224694028325	0.852045365715474
RamDA_00h_C11	cluster_4	00h	0.101694737187717	-1.45340939446674	0.246948062242938
RamDA_00h_C11	cluster_5	00h	0.101694737187717	1.01158027121999	0.287990220406606
RamDA_00h_C11	cluster_6	00h	0.101694737187717	0.311897969535573	0.393099751954377
RamDA_00h_C11	cluster_7	00h	0.101694737187717	-0.812178025945817	0.426117213083973
RamDA_00h_D01	cluster_1	00h	0.102844526658219	-0.834496789741461	0.580808634041489
RamDA_00h_D01	cluster_2	00h	0.102844526658219	1.53084939770096	0.15186789840471
RamDA_00h_D01	cluster_3	00h	0.102844526658219	-0.0440482198117539	0.848205933980312
RamDA_00h_D01	cluster_4	00h	0.102844526658219	-1.45034675106005	0.244449039473904
RamDA_00h_D01	cluster_5	00h	0.102844526658219	1.01107736814457	0.286131572100906
RamDA_00h_D01	cluster_6	00h	0.102844526658219	0.313696994571821	0.391501580748735
RamDA_00h_D01	cluster_7	00h	0.102844526658219	-0.805739308863405	0.425179646951689
RamDA_00h_D02	cluster_1	00h	0.211001140185928	-0.813085819736899	0.424778634648768
RamDA_00h_D02	cluster_2	00h	0.211001140185928	1.05477105422437	0.238128612990262
RamDA_00h_D02	cluster_3	00h	0.211001140185928	-0.587316992905416	0.556844789759147
RamDA_00h_D02	cluster_4	00h	0.211001140185928	-1.12121811606068	0.209211359741827
RamDA_00h_D02	cluster_5	00h	0.211001140185928	0.987682672165836	0.161713563150752
RamDA_00h_D02	cluster_6	00h	0.211001140185928	0.519391257646321	0.363458698686796
RamDA_00h_D02	cluster_7	00h	0.211001140185928	-0.114212392262238	0.493742364585764
